cod_mdr,dsc_situacao_contrato_mdr,dsc_situacao_objeto_mdr,programa,acao,uf_SIGLA_UF,mun_MUNNOMEX,Código IBGE,empreendimento,cluster_empreendimento,situacao_obra,situacao_obra_base_validacao,situacao_contrato,prc_fisico,dte_inicio_obra,dte_fim_obra,pop_beneficiada,vlr_investimento,Populacao,mun_ALTITUDE,mun_AREA,dte_antes_60,dte_depois_60,dte_antes_180,dte_depois_180,dte_antes_365,dte_depois_365,cont_antes_60,cont_depois_60,cont_antes_180,cont_depois_180,cont_antes_365,cont_depois_365,razao_antes_depois_60,diferenca_antes_depois_60,razao_antes_depois_180,diferenca_antes_depois_180,razao_antes_depois_365,diferenca_antes_depois_365,tot_veic
1-57048,CONTRATADO - CONCLUIDO,CONCLUIDA,PAC FIN,FGTS,TO,GURUPI,1709500.0,PAV QUALIFICACAO DE VIAS NA AVENIDA B SUL E AVENIDA B NORTE DIREITO E AVENIDA B NORTE ESQUERDO,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2018-04-16,2020-07-01,3730,3157894.5700000003,85523.0,287.0,1836081.0,2018-02-15,2020-08-30,2017-10-18,2020-12-28,2017-04-16,2021-07-01,5.0,5.0,17.0,16.0,38.0,36.0,1.0,0.0,1.0625,1.0,1.0555555555555556,2.0,65875.0
1-57301,CONTRATADO - CONCLUIDO,CONCLUIDA,PAC FIN,FGTS,SP,MONTE ALTO,3531308.0,PAVIMENTACAO ASFALTICA NO BAIRRO JARDIM BELA VISTA.,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2018-06-12,2020-12-01,1798,1522591.84,49721.0,735.0,347119.0,2018-04-13,2021-01-30,2017-12-14,2021-05-30,2017-06-12,2021-12-01,8.0,7.0,29.0,20.0,64.0,40.0,1.1428571428571428,1.0,1.45,9.0,1.6,24.0,42510.0
1-57400,CONTRATADO - CONCLUIDO,CONCLUIDA,PAC FIN,FGTS,RS,SOBRADINHO,4320701.0,PAVIMENTACAO E QUALIFICACAO DE VIAS URBANAS,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2018-03-12,2020-09-01,1645,1402652.4500000002,15018.0,427.0,130390.0,2018-01-11,2020-10-31,2017-09-13,2021-02-28,2017-03-12,2021-09-01,15.0,15.0,37.0,44.0,66.0,91.0,1.0,0.0,0.8409090909090909,-7.0,0.7252747252747253,-25.0,9475.0
1-57656,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,BOMBINHAS,4202453.0,PRO. TRANSPORTE BOMBINHAS - QUALIFICACAO VIARIA NO MUNICIPIOPRAZO 1Œ DES:  12/2019,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-02-22,2021-08-01,5841,5073916.76,19193.0,32.0,34489.0,2018-12-24,2021-09-30,2018-08-26,2022-01-28,2018-02-22,2022-08-01,9.0,14.0,18.0,26.0,32.0,39.0,0.6428571428571429,-5.0,0.6923076923076923,-8.0,0.8205128205128205,-7.0,16152.0
1-57710,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SP,MORUNGABA,3532009.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE MORUNGABA/SP,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-01-31,2022-04-01,3763,3342000.24,13622.0,765.0,146496.0,2019-12-02,2022-05-31,2019-08-04,2022-09-28,2019-01-31,2023-04-01,1.0,2.0,3.0,11.0,8.0,16.0,0.5,-1.0,0.2727272727272727,-8.0,0.5,-8.0,10579.0
1-57716,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SP,ELIAS FAUSTO,3514908.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE ELIAS FAUSTO/SP,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-06-14,2021-05-01,5736,5010798.64,17772.0,605.0,201471.0,2019-04-15,2021-06-30,2018-12-16,2021-10-28,2018-06-14,2022-05-01,0.0,0.0,5.0,0.0,10.0,3.0,,0.0,inf,5.0,3.333333333333333,7.0,9136.0
1-57727,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,PR,CASTRO,4104907.0,PAVIMENTACAO JARDIM ARAUCARIA E NOSSA SENHORA DAS GRACAS,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-03-03,2021-02-01,8073,7043314.58,71484.0,999.0,2531503.0,2020-01-03,2021-04-02,2019-09-05,2021-07-31,2019-03-04,2022-02-01,4.0,15.0,18.0,31.0,24.0,54.0,0.2666666666666666,-11.0,0.5806451612903226,-13.0,0.4444444444444444,-30.0,47053.0
1-57735,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,TO,GURUPI,1709500.0,OBRAS DE QUALIFICACAO VIARIA NO MUNICIPIO DE GURUPI/TO,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-07-12,2021-12-01,18742,15868805.3,85737.0,287.0,1836081.0,2019-05-13,2022-01-30,2019-01-13,2022-05-30,2018-07-12,2022-12-01,7.0,1.0,25.0,5.0,48.0,18.0,7.0,6.0,5.0,20.0,2.6666666666666665,30.0,65875.0
1-57737,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,MASSARANDUBA,4210605.0,PRO. TRANSPORTE - MASSARANDUBA - QUALIFIC. VIARIA           AVANCAR CIDADES - GRUPO I,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-05-13,2020-11-01,5438,4604594.07,16916.0,38.0,373296.0,2019-03-14,2020-12-31,2018-11-14,2021-04-30,2018-05-13,2021-11-01,2.0,5.0,23.0,13.0,38.0,43.0,0.4,-3.0,1.7692307692307692,10.0,0.8837209302325582,-5.0,13324.0
1-57744,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SP,REGISTRO,3542602.0,AVANCAR CIDADES MOBILIDADE URBANA GRUPO 1,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-11-07,2021-09-01,14299,12107314.01,56322.0,25.0,716331.0,2019-09-08,2021-10-31,2019-05-11,2022-02-28,2018-11-07,2022-09-01,6.0,12.0,34.0,34.0,51.0,87.0,0.5,-6.0,1.0,0.0,0.5862068965517241,-36.0,37113.0
